81, 44, 90
50, 53, 32
51, 82, 31
59, 67, 31
93, 89, 50
62, 87, 51
78, 88, 71
89, 44, 91
91, 76, 91
80, 84, 93
32, 80, 36
50, 68, 47
33, 89, 43
38, 82, 31
89, 100, 73
37, 76, 64
65, 79, 33
31, 35, 83
33, 83, 92
47, 73, 63
91, 43, 77
44, 91, 69
82, 53, 55
89, 70, 58
44, 74, 94
100, 38, 30
37, 92, 40
37, 64, 64
62, 34, 70
57, 36, 41
63, 62, 77
52, 91, 66
73, 64, 94
76, 32, 30
34, 43, 56
38, 44, 71
80, 92, 81
33, 52, 44
72, 58, 65
42, 61, 100
88, 57, 95
71, 74, 91
86, 35, 57
57, 73, 59
91, 91, 30
56, 91, 32
99, 56, 38
91, 66, 80
73, 53, 88
61, 81, 91
87, 81, 41
68, 31, 32
85, 88, 31
31, 83, 30
48, 31, 82
73, 61, 99
61, 97, 84
85, 46, 67
53, 98, 99
40, 45, 88
99, 32, 49
88, 65, 48
96, 48, 49
100, 81, 62
69, 68, 30
40, 86, 79
52, 60, 71
36, 45, 89
31, 30, 77
41, 98, 66
61, 38, 48
77, 32, 49
53, 83, 62
53, 65, 67
54, 47, 95
83, 64, 90
70, 62, 97
62, 43, 50
77, 49, 37
36, 96, 46
62, 77, 88
51, 59, 67
80, 83, 37
56, 56, 50
59, 57, 93
98, 90, 77
48, 33, 64
93, 78, 46
73, 59, 75
35, 66, 53
75, 82, 89
92, 61, 62
96, 47, 54
83, 87, 96
75, 53, 61
76, 52, 95
56, 31, 46
62, 38, 72
77, 68, 71
55, 79, 54
